Relative Path,Modality,Vocal Channel,Emotion,Intensity,Statement,Repetition,Actor,Gender
audio_song/Actor_01/03-02-01-01-01-01-01.wav,audio-only,song,neutral,normal,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-01-01-01-02-01.wav,audio-only,song,neutral,normal,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-01-01-02-01-01.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-01-01-02-02-01.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,2nd,01,Male
audio_song/Actor_01/03-02-02-01-01-01-01.wav,audio-only,song,calm,normal,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-02-01-01-02-01.wav,audio-only,song,calm,normal,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-02-01-02-01-01.wav,audio-only,song,calm,normal,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-02-01-02-02-01.wav,audio-only,song,calm,normal,Dogs are sitting by the door,2nd,01,Male
audio_song/Actor_01/03-02-02-02-01-01-01.wav,audio-only,song,calm,strong,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-02-02-01-02-01.wav,audio-only,song,calm,strong,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-02-02-02-01-01.wav,audio-only,song,calm,strong,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-02-02-02-02-01.wav,audio-only,song,calm,strong,Dogs are sitting by the door,2nd,01,Male
audio_song/Actor_01/03-02-03-01-01-01-01.wav,audio-only,song,happy,normal,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-03-01-01-02-01.wav,audio-only,song,happy,normal,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-03-01-02-01-01.wav,audio-only,song,happy,normal,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-03-01-02-02-01.wav,audio-only,song,happy,normal,Dogs are sitting by the door,2nd,01,Male
audio_song/Actor_01/03-02-03-02-01-01-01.wav,audio-only,song,happy,strong,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-03-02-01-02-01.wav,audio-only,song,happy,strong,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-03-02-02-01-01.wav,audio-only,song,happy,strong,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-03-02-02-02-01.wav,audio-only,song,happy,strong,Dogs are sitting by the door,2nd,01,Male
audio_song/Actor_01/03-02-04-01-01-01-01.wav,audio-only,song,sad,normal,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-04-01-01-02-01.wav,audio-only,song,sad,normal,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-04-01-02-01-01.wav,audio-only,song,sad,normal,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-04-01-02-02-01.wav,audio-only,song,sad,normal,Dogs are sitting by the door,2nd,01,Male
audio_song/Actor_01/03-02-04-02-01-01-01.wav,audio-only,song,sad,strong,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-04-02-01-02-01.wav,audio-only,song,sad,strong,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-04-02-02-01-01.wav,audio-only,song,sad,strong,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-04-02-02-02-01.wav,audio-only,song,sad,strong,Dogs are sitting by the door,2nd,01,Male
