relative path,actor,word,emotion,gender
YAF_wire_happy.wav,YAF,wire,happy,female
OAF_fat_disgust.wav,OAF,fat,disgust,female
OAF_bought_happy.wav,OAF,bought,happy,female
OAF_fit_neutral.wav,OAF,fit,neutral,female
YAF_dead_fear.wav,YAF,dead,fear,female
OAF_join_neutral.wav,OAF,join,neutral,female
YAF_hall_happy.wav,YAF,hall,happy,female
YAF_hurl_neutral.wav,YAF,hurl,neutral,female
OAF_king_angry.wav,OAF,king,angry,female
OAF_rot_angry.wav,OAF,rot,angry,female
YAF_hit_ps.wav,YAF,hit,ps,female
OAF_gaze_sad.wav,OAF,gaze,sad,female
YAF_ripe_fear.wav,YAF,ripe,fear,female
YAF_dog_neutral.wav,YAF,dog,neutral,female
OAF_hire_angry.wav,OAF,hire,angry,female
OAF_neat_sad.wav,OAF,neat,sad,female
YAF_gin_happy.wav,YAF,gin,happy,female
YAF_sub_neutral.wav,YAF,sub,neutral,female
OAF_mouse_sad.wav,OAF,mouse,sad,female
OAF_ripe_disgust.wav,OAF,ripe,disgust,female
YAF_date_disgust.wav,YAF,date,disgust,female
YAF_hall_fear.wav,YAF,hall,fear,female
OAF_voice_disgust.wav,OAF,voice,disgust,female
YAF_laud_neutral.wav,YAF,laud,neutral,female
YAF_numb_angry.wav,YAF,numb,angry,female
YAF_cause_fear.wav,YAF,cause,fear,female
YAF_seize_angry.wav,YAF,seize,angry,female
YAF_rag_disgust.wav,YAF,rag,disgust,female
OAF_take_angry.wav,OAF,take,angry,female
OAF_page_sad.wav,OAF,page,sad,female
YAF_dime_sad.wav,YAF,dime,sad,female
OAF_ripe_ps.wav,OAF,ripe,ps,female
YAF_pick_angry.wav,YAF,pick,angry,female
OAF_take_ps.wav,OAF,take,ps,female
OAF_calm_angry.wav,OAF,calm,angry,female
OAF_third_fear.wav,OAF,third,fear,female
OAF_fall_neutral.wav,OAF,fall,neutral,female
OAF_pain_ps.wav,OAF,pain,ps,female
YAF_shack_neutral.wav,YAF,shack,neutral,female
OAF_yes_fear.wav,OAF,yes,fear,female
YAF_love_happy.wav,YAF,love,happy,female
YAF_raise_disgust.wav,YAF,raise,disgust,female
OAF_peg_happy.wav,OAF,peg,happy,female
YAF_gaze_happy.wav,YAF,gaze,happy,female
YAF_kite_happy.wav,YAF,kite,happy,female
OAF_rush_disgust.wav,OAF,rush,disgust,female
OAF_turn_ps.wav,OAF,turn,ps,female
YAF_turn_sad.wav,YAF,turn,sad,female
OAF_sheep_disgust.wav,OAF,sheep,disgust,female
YAF_came_ps.wav,YAF,came,ps,female
OAF_chalk_angry.wav,OAF,chalk,angry,female
YAF_dime_neutral.wav,YAF,dime,neutral,female
YAF_should_fear.wav,YAF,should,fear,female
YAF_team_happy.wav,YAF,team,happy,female
OAF_doll_neutral.wav,OAF,doll,neutral,female
OAF_thin_fear.wav,OAF,thin,fear,female
OAF_fit_angry.wav,OAF,fit,angry,female
OAF_lose_fear.wav,OAF,lose,fear,female
OAF_size_ps.wav,OAF,size,ps,female
YAF_bar_neutral.wav,YAF,bar,neutral,female
OAF_haze_happy.wav,OAF,haze,happy,female
OAF_pole_fear.wav,OAF,pole,fear,female
OAF_kick_fear.wav,OAF,kick,fear,female
YAF_jar_happy.wav,YAF,jar,happy,female
YAF_white_happy.wav,YAF,white,happy,female
YAF_love_neutral.wav,YAF,love,neutral,female
OAF_nag_fear.wav,OAF,nag,fear,female
YAF_rot_neutral.wav,YAF,rot,neutral,female
OAF_lose_ps.wav,OAF,lose,ps,female
OAF_check_sad.wav,OAF,check,sad,female
YAF_rag_ps.wav,YAF,rag,ps,female
YAF_mouse_angry.wav,YAF,mouse,angry,female
OAF_bite_sad.wav,OAF,bite,sad,female
YAF_pad_sad.wav,YAF,pad,sad,female
YAF_bean_neutral.wav,YAF,bean,neutral,female
OAF_chat_sad.wav,OAF,chat,sad,female
OAF_pike_ps.wav,OAF,pike,ps,female
OAF_pass_disgust.wav,OAF,pass,disgust,female
OAF_thin_ps.wav,OAF,thin,ps,female
OAF_juice_neutral.wav,OAF,juice,neutral,female
OAF_met_fear.wav,OAF,met,fear,female
YAF_kite_sad.wav,YAF,kite,sad,female
YAF_ditch_disgust.wav,YAF,ditch,disgust,female
YAF_yes_sad.wav,YAF,yes,sad,female
OAF_read_happy.wav,OAF,read,happy,female
YAF_whip_angry.wav,YAF,whip,angry,female
OAF_dip_fear.wav,OAF,dip,fear,female
OAF_hash_fear.wav,OAF,hash,fear,female
YAF_fail_fear.wav,YAF,fail,fear,female
OAF_mood_fear.wav,OAF,mood,fear,female
YAF_pike_sad.wav,YAF,pike,sad,female
OAF_bath_fear.wav,OAF,bath,fear,female
YAF_mop_angry.wav,YAF,mop,angry,female
OAF_far_fear.wav,OAF,far,fear,female
OAF_red_happy.wav,OAF,red,happy,female
OAF_ton_sad.wav,OAF,ton,sad,female
YAF_read_ps.wav,YAF,read,ps,female
YAF_mode_ps.wav,YAF,mode,ps,female
YAF_pole_neutral.wav,YAF,pole,neutral,female
YAF_door_disgust.wav,YAF,door,disgust,female
YAF_gin_neutral.wav,YAF,gin,neutral,female
OAF_learn_angry.wav,OAF,learn,angry,female
YAF_fail_neutral.wav,YAF,fail,neutral,female
YAF_pearl_angry.wav,YAF,pearl,angry,female
OAF_lid_happy.wav,OAF,lid,happy,female
OAF_vote_ps.wav,OAF,vote,ps,female
YAF_youth_fear.wav,YAF,youth,fear,female
OAF_such_fear.wav,OAF,such,fear,female
OAF_knock_sad.wav,OAF,knock,sad,female
YAF_mill_neutral.wav,YAF,mill,neutral,female
YAF_sure_sad.wav,YAF,sure,sad,female
YAF_merge_fear.wav,YAF,merge,fear,female
YAF_wash_sad.wav,YAF,wash,sad,female
YAF_reach_ps.wav,YAF,reach,ps,female
OAF_soup_fear.wav,OAF,soup,fear,female
OAF_limb_angry.wav,OAF,limb,angry,female
YAF_note_disgust.wav,YAF,note,disgust,female
YAF_mop_sad.wav,YAF,mop,sad,female
OAF_name_fear.wav,OAF,name,fear,female
OAF_keg_angry.wav,OAF,keg,angry,female
YAF_mode_sad.wav,YAF,mode,sad,female
YAF_dab_happy.wav,YAF,dab,happy,female
OAF_gun_neutral.wav,OAF,gun,neutral,female
OAF_lore_happy.wav,OAF,lore,happy,female
YAF_mouse_neutral.wav,YAF,mouse,neutral,female
YAF_death_happy.wav,YAF,death,happy,female
OAF_late_sad.wav,OAF,late,sad,female
YAF_luck_ps.wav,YAF,luck,ps,female
YAF_phone_sad.wav,YAF,phone,sad,female
OAF_wash_angry.wav,OAF,wash,angry,female
OAF_lid_fear.wav,OAF,lid,fear,female
OAF_thumb_angry.wav,OAF,thumb,angry,female
OAF_mood_angry.wav,OAF,mood,angry,female
OAF_haze_disgust.wav,OAF,haze,disgust,female
YAF_void_fear.wav,YAF,void,fear,female
YAF_fat_happy.wav,YAF,fat,happy,female
OAF_search_sad.wav,OAF,search,sad,female
OAF_void_angry.wav,OAF,void,angry,female
YAF_hash_happy.wav,YAF,hash,happy,female
OAF_time_ps.wav,OAF,time,ps,female
YAF_when_happy.wav,YAF,when,happy,female
YAF_room_fear.wav,YAF,room,fear,female
YAF_pearl_disgust.wav,YAF,pearl,disgust,female
OAF_fall_ps.wav,OAF,fall,ps,female
YAF_juice_ps.wav,YAF,juice,ps,female
YAF_rose_happy.wav,YAF,rose,happy,female
OAF_whip_sad.wav,OAF,whip,sad,female
YAF_perch_ps.wav,YAF,perch,ps,female
YAF_turn_angry.wav,YAF,turn,angry,female
YAF_search_disgust.wav,YAF,search,disgust,female
OAF_tape_sad.wav,OAF,tape,sad,female
OAF_which_ps.wav,OAF,which,ps,female
OAF_void_disgust.wav,OAF,void,disgust,female
OAF_soap_happy.wav,OAF,soap,happy,female
OAF_wash_neutral.wav,OAF,wash,neutral,female
OAF_ditch_fear.wav,OAF,ditch,fear,female
OAF_rough_neutral.wav,OAF,rough,neutral,female
OAF_perch_angry.wav,OAF,perch,angry,female
OAF_talk_sad.wav,OAF,talk,sad,female
OAF_said_angry.wav,OAF,said,angry,female
OAF_book_angry.wav,OAF,book,angry,female
OAF_boat_happy.wav,OAF,boat,happy,female
YAF_merge_neutral.wav,YAF,merge,neutral,female
YAF_when_ps.wav,YAF,when,ps,female
OAF_numb_fear.wav,OAF,numb,fear,female
YAF_nag_angry.wav,YAF,nag,angry,female
OAF_bean_sad.wav,OAF,bean,sad,female
OAF_when_sad.wav,OAF,when,sad,female
YAF_cab_ps.wav,YAF,cab,ps,female
OAF_rat_fear.wav,OAF,rat,fear,female
OAF_get_angry.wav,OAF,get,angry,female
YAF_near_angry.wav,YAF,near,angry,female
YAF_bath_happy.wav,YAF,bath,happy,female
OAF_far_angry.wav,OAF,far,angry,female
YAF_luck_neutral.wav,YAF,luck,neutral,female
OAF_pool_angry.wav,OAF,pool,angry,female
YAF_vine_sad.wav,YAF,vine,sad,female
YAF_bite_ps.wav,YAF,bite,ps,female
OAF_king_sad.wav,OAF,king,sad,female
YAF_chain_angry.wav,YAF,chain,angry,female
YAF_late_disgust.wav,YAF,late,disgust,female
YAF_far_neutral.wav,YAF,far,neutral,female
OAF_lose_neutral.wav,OAF,lose,neutral,female
YAF_shall_sad.wav,YAF,shall,sad,female
OAF_wash_fear.wav,OAF,wash,fear,female
OAF_south_sad.wav,OAF,south,sad,female
OAF_mode_happy.wav,OAF,mode,happy,female
YAF_check_angry.wav,YAF,check,angry,female
OAF_bar_happy.wav,OAF,bar,happy,female
YAF_ditch_sad.wav,YAF,ditch,sad,female
YAF_note_fear.wav,YAF,note,fear,female
OAF_reach_sad.wav,OAF,reach,sad,female
OAF_hire_sad.wav,OAF,hire,sad,female
YAF_shirt_neutral.wav,YAF,shirt,neutral,female
YAF_fail_angry.wav,YAF,fail,angry,female
OAF_cheek_angry.wav,OAF,cheek,angry,female
YAF_thought_happy.wav,YAF,thought,happy,female
OAF_pain_fear.wav,OAF,pain,fear,female
YAF_deep_ps.wav,YAF,deep,ps,female
YAF_wife_sad.wav,YAF,wife,sad,female
YAF_search_fear.wav,YAF,search,fear,female
OAF_came_sad.wav,OAF,came,sad,female
YAF_south_neutral.wav,YAF,south,neutral,female
OAF_pick_ps.wav,OAF,pick,ps,female
YAF_tough_sad.wav,YAF,tough,sad,female
YAF_which_angry.wav,YAF,which,angry,female
YAF_dead_sad.wav,YAF,dead,sad,female
YAF_lot_angry.wav,YAF,lot,angry,female
OAF_sure_neutral.wav,OAF,sure,neutral,female
