Start,End,emotion,mfcc_mean,mfcc_var,mfcc_max,mfcc_min,mfcc_range,pitch_mean,pitch_var,pitch_max,pitch_min,pitch_range,energy_mean,energy_var,energy_max,energy_min,energy_range,zcr_mean,zcr_var,zcr_max,zcr_min,zcr_range,gender,actor,context_speaker_id
398.68,400.71,neutral,"[-637.3807983398438, 120.98927307128906, -27.211929321289062, 27.70586395263672, -16.68329620361328, 13.947352409362793, -18.09225082397461, -4.402019023895264, -8.235723495483398, -1.578869342803955, -0.952925980091095, 4.899429798126221]","[4944.06689453125, 816.8352661132812, 487.3216552734375, 376.7420654296875, 340.0316467285156, 211.4627227783203, 202.1373291015625, 183.67672729492188, 87.3296127319336, 105.5978012084961, 95.3233642578125, 91.49665832519531]","[-493.11444091796875, 182.80230712890625, 38.19078063964844, 85.82148742675781, 19.235139846801758, 56.13842010498047, 13.33161449432373, 35.9384880065918, 13.846410751342773, 22.395751953125, 22.232280731201172, 24.42924690246582]","[-764.7696533203125, 34.72407531738281, -84.88809204101562, -24.377544403076172, -53.73722839355469, -25.790437698364258, -55.064613342285156, -46.946632385253906, -30.549800872802734, -29.327802658081055, -27.8594970703125, -24.080398559570312]","[271.65521240234375, 148.07823181152344, 123.07887268066406, 110.19903564453125, 72.97236633300781, 81.9288558959961, 68.39622497558594, 82.88511657714844, 44.396209716796875, 51.72355651855469, 50.09177780151367, 48.5096435546875]",1099.8955,760828.8,3974.5762,126.41806,3848.1582,0.022082442,0.00093614456,0.13412061,0.000106730266,0.13401388,0.0857912561576354,0.0025121375374614,0.328125,0.015625,0.3125,female,Ses05F_female,Ses05F_female
63.33,66.63,neutral,"[-554.7432250976562, 110.0028305053711, -19.862876892089844, 34.696617126464844, -2.5632553100585938, 4.164595127105713, -15.977110862731934, -5.178278923034668, -5.794485092163086, -3.3119335174560547, -4.0542802810668945, 1.1472529172897339]","[5801.3359375, 791.83349609375, 869.5551147460938, 474.17333984375, 285.0474548339844, 179.1095733642578, 281.5783996582031, 167.95611572265625, 164.2996368408203, 142.8123779296875, 90.66465759277344, 90.24177551269531]","[-351.72247314453125, 166.51539611816406, 25.75912094116211, 115.75320434570312, 44.69993591308594, 59.32234573364258, 31.257863998413086, 42.78593444824219, 24.652755737304688, 35.75431823730469, 20.302833557128906, 28.81171226501465]","[-679.3800048828125, -3.0871591567993164, -110.66366577148438, -15.569229125976562, -64.59830474853516, -28.784870147705078, -67.01533508300781, -46.38428497314453, -40.205604553222656, -31.803598403930664, -36.49085998535156, -22.820297241210938]","[327.65753173828125, 169.60255432128906, 136.42279052734375, 131.3224334716797, 109.2982406616211, 88.10721588134766, 98.27320098876953, 89.17021942138672, 64.85836029052734, 67.55791473388672, 56.79369354248047, 51.63201141357422]",1058.6356,698940.4,3959.6333,126.95675,3832.6765,0.24000485,0.24625108,3.9137602,0.00092396815,3.9128363,0.075934667673716,0.0032082405862943,0.475,0.0125,0.4624999999999999,male,Ses01M_male,Ses01M_male
142.47,144.38,neutral,"[-746.9000854492188, 95.3969497680664, -5.080783367156982, 33.296016693115234, -12.412040710449219, 14.296772956848145, -16.154022216796875, 11.146580696105957, -20.490745544433594, -0.8192344307899475, -5.021073818206787, 5.411666393280029]","[2767.122802734375, 781.303466796875, 408.9250183105469, 199.2340850830078, 112.14190673828125, 152.7106475830078, 228.03871154785156, 155.77601623535156, 99.946533203125, 97.79496002197266, 104.45693969726562, 79.9830093383789]","[-627.9381713867188, 155.3911590576172, 54.0878791809082, 66.7679443359375, 26.643909454345703, 40.15814208984375, 12.553277969360352, 39.55350112915039, 0.15957903861999512, 27.520572662353516, 21.194948196411133, 27.952152252197266]","[-832.3973999023438, 2.8328075408935547, -47.897117614746094, -2.5344953536987305, -50.23368835449219, -21.360841751098633, -59.01185607910156, -31.7930908203125, -47.35279083251953, -27.532915115356445, -34.77760314941406, -18.488304138183594]","[204.459228515625, 152.558349609375, 101.98500061035156, 69.30243682861328, 76.87759399414062, 61.51898193359375, 71.56513214111328, 71.34658813476562, 47.51237106323242, 55.053489685058594, 55.97254943847656, 46.44045639038086]",981.7519,601272.0,3936.4536,133.49196,3802.9617,0.0029881347,2.6232387e-05,0.021944989,3.932393e-05,0.021905664,0.0904622395833333,0.0061022684309217,0.40625,0.021875,0.384375,male,Ses03M_male,Ses03M_male
9.42,11.32,neutral,"[-592.1000366210938, 72.37451934814453, -36.93742752075195, 23.98377227783203, -22.642057418823242, 8.93399429321289, -12.549220085144043, -9.164063453674316, 2.8763842582702637, -5.488855838775635, -11.94974136352539, -2.8155810832977295]","[7329.7265625, 373.037109375, 1191.3958740234375, 758.4739990234375, 325.9564514160156, 354.7214050292969, 333.1546936035156, 180.854248046875, 126.56581115722656, 162.43646240234375, 124.58029174804688, 109.72286224365234]","[-342.7697448730469, 124.59378051757812, 34.42080307006836, 100.24703979492188, 17.371700286865234, 41.936279296875, 37.30376434326172, 31.938405990600586, 33.53459167480469, 22.991641998291016, 12.236345291137695, 34.59685516357422]","[-731.295654296875, 11.782136917114258, -130.26499938964844, -46.036224365234375, -67.04423522949219, -48.046424865722656, -51.5771484375, -41.573524475097656, -29.196414947509766, -37.919708251953125, -35.83347702026367, -27.69977378845215]","[388.5259094238281, 112.8116455078125, 164.68580627441406, 146.28326416015625, 84.41593933105469, 89.98270416259766, 88.88091278076172, 73.51193237304688, 62.73100662231445, 60.91135025024414, 48.06982421875, 62.296630859375]",1705.062,1208929.8,3969.7153,127.47115,3842.2441,0.16110438,0.27144372,3.4201703,0.000118232565,3.420052,0.1423756544502618,0.0067581733470847,0.628125,0.028125,0.6000000000000001,female,Ses03F_female,Ses03F_female
100.7536,107.0617,neutral,"[-732.396240234375, 111.8243637084961, -11.459000587463379, 37.90458297729492, -12.144349098205566, 25.637346267700195, -9.084237098693848, 6.582030296325684, -15.886941909790039, 5.542895317077637, -10.45760440826416, 3.2151012420654297]","[931.0986328125, 738.0744018554688, 301.81829833984375, 284.10247802734375, 137.7919921875, 121.02300262451172, 161.57186889648438, 131.71121215820312, 107.03262329101562, 106.49640655517578, 77.55059051513672, 76.53922271728516]","[-643.1532592773438, 183.1361083984375, 34.48965072631836, 96.94703674316406, 13.85799789428711, 59.13934326171875, 32.45293426513672, 50.82025909423828, 11.60820198059082, 38.55694580078125, 15.22936725616455, 35.04182815551758]","[-804.0877075195312, 9.974273681640625, -67.732421875, -9.107341766357422, -53.35643768310547, -15.103604316711426, -51.62287521362305, -32.93901824951172, -50.772640228271484, -23.521514892578125, -39.85434341430664, -23.45381736755371]","[160.9344482421875, 173.16183471679688, 102.22207641601562, 106.05438232421875, 67.21443176269531, 74.24295043945312, 84.0758056640625, 83.75927734375, 62.38084411621094, 62.078460693359375, 55.083709716796875, 58.495643615722656]",985.26,700283.94,3972.851,125.14494,3847.706,0.0016754493,2.6662178e-06,0.00840994,0.0001245134,0.008285427,0.0717412836767036,0.0044203125725994,0.528125,0.015625,0.5125,female,Ses02F_female,Ses02F_female
173.7325,178.2625,neutral,"[-541.71923828125, 94.0316390991211, -20.532058715820312, 36.87122344970703, -13.530324935913086, 13.054679870605469, -15.06856632232666, 0.06446495652198792, -10.62879467010498, -0.12023145705461502, -4.430389881134033, 4.601048469543457]","[3799.25244140625, 2200.6328125, 930.7661743164062, 727.5262451171875, 300.07757568359375, 355.3875732421875, 203.43746948242188, 224.80213928222656, 83.03890228271484, 171.9058380126953, 125.73725128173828, 104.89411926269531]","[-382.3714294433594, 191.76693725585938, 46.063079833984375, 116.91806030273438, 27.747236251831055, 69.20032501220703, 24.739442825317383, 30.724214553833008, 15.259143829345703, 28.5643310546875, 25.67218780517578, 29.339099884033203]","[-688.4343872070312, -30.215831756591797, -112.58222198486328, -22.964298248291016, -68.6705322265625, -41.982845306396484, -61.328792572021484, -49.52174377441406, -37.294456481933594, -39.394569396972656, -31.003421783447266, -32.90672302246094]","[306.0629577636719, 221.98277282714844, 158.64529418945312, 139.88235473632812, 96.41777038574219, 111.18316650390625, 86.0682373046875, 80.24595642089844, 52.5536003112793, 67.95890045166016, 56.67560958862305, 62.24582290649414]",1556.2981,1279453.6,3974.3684,125.6938,3848.6746,0.15046202,0.08814598,2.23763,0.0009237628,2.236706,0.1301762114537444,0.0099336711108671,0.546875,0.015625,0.53125,female,Ses01F_female,Ses01F_female
157.48,160.87,neutral,"[-472.6643371582031, 90.75987243652344, -44.76934814453125, 26.611112594604492, -23.99447250366211, 16.558269500732422, -27.32432746887207, -1.1133657693862915, -13.317646026611328, 1.9943903684616089, -9.718228340148926, 14.475898742675781]","[2727.228759765625, 634.766357421875, 444.6001281738281, 417.18353271484375, 154.3609619140625, 238.5723419189453, 148.68203735351562, 199.76116943359375, 124.1390380859375, 106.9133071899414, 92.227294921875, 91.09415435791016]","[-351.231201171875, 145.13760375976562, 16.26531982421875, 93.94920349121094, 1.4256634712219238, 50.43632507324219, 5.0311279296875, 37.626651763916016, 19.167675018310547, 25.794462203979492, 18.2525634765625, 44.14698791503906]","[-571.7736206054688, 13.829633712768555, -106.22149658203125, -15.268351554870605, -59.046775817871094, -30.178531646728516, -60.80181884765625, -42.33498764038086, -40.72977066040039, -24.3914794921875, -31.838542938232422, -13.077657699584961]","[220.54241943359375, 131.30796813964844, 122.48681640625, 109.2175521850586, 60.47243881225586, 80.61485290527344, 65.83294677734375, 79.96163940429688, 59.89744567871094, 50.185943603515625, 50.09110641479492, 57.224647521972656]",1683.6329,1190884.6,3972.9993,129.0521,3843.9473,0.19397499,0.07862462,1.3837166,0.0030343828,1.3806822,0.1469209558823529,0.0041522554707774,0.48125,0.046875,0.434375,male,Ses03M_male,Ses03M_male
139.87,141.31,neutral,"[-590.476806640625, 89.14840698242188, -27.45208740234375, 39.89809036254883, -12.959409713745117, 17.448884963989258, -15.743659019470215, 0.6945880651473999, -13.549118995666504, 8.36703109741211, -9.195904731750488, 2.1508755683898926]","[6823.93212890625, 1622.160400390625, 925.2715454101562, 200.6806182861328, 316.72857666015625, 150.44606018066406, 148.60569763183594, 246.2829132080078, 161.77639770507812, 90.46025085449219, 85.80950927734375, 156.12979125976562]","[-426.4248352050781, 143.8104705810547, 22.994979858398438, 80.01600646972656, 24.572080612182617, 44.9212760925293, 14.76602840423584, 45.750553131103516, 16.40148162841797, 29.801288604736328, 14.442105293273926, 26.963783264160156]","[-707.5322875976562, -14.770730972290039, -102.49649047851562, 7.076761245727539, -58.90949630737305, -25.013639450073242, -53.64398193359375, -32.44489288330078, -37.01267623901367, -16.206748962402344, -34.891605377197266, -26.446800231933594]","[281.1074523925781, 158.58120727539062, 125.49147033691406, 72.93924713134766, 83.48157501220703, 69.9349136352539, 68.4100112915039, 78.19544982910156, 53.41415786743164, 46.00803756713867, 49.333709716796875, 53.41058349609375]",1554.4918,1118979.4,3974.3235,127.24701,3847.0764,0.0596119,0.011064793,0.49676716,0.00021781866,0.49654934,0.1378663793103448,0.0097070990636147,0.553125,0.025,0.528125,female,Ses02F_female,Ses02F_female
165.8131,170.0329,neutral,"[-698.9505615234375, 108.81005859375, -25.17719841003418, 33.62950897216797, -8.471100807189941, 19.743730545043945, -11.262889862060547, 1.5417176485061646, -15.411799430847168, 0.7455626726150513, -2.4650115966796875, 2.2929184436798096]","[7227.0166015625, 849.67236328125, 649.8097534179688, 322.7678527832031, 246.17835998535156, 215.33560180664062, 180.21408081054688, 212.511474609375, 122.86038970947266, 122.09110260009766, 129.41976928710938, 80.09471130371094]","[-473.4086608886719, 162.10040283203125, 52.777366638183594, 91.49586486816406, 40.305686950683594, 72.45510864257812, 18.447235107421875, 45.12511444091797, 15.856664657592773, 32.794227600097656, 30.363313674926758, 30.698619842529297]","[-810.2022705078125, -11.643436431884766, -102.55232238769531, -14.452112197875977, -63.70461654663086, -29.831424713134766, -50.399436950683594, -41.776119232177734, -49.55671691894531, -35.288330078125, -45.07473373413086, -22.04397964477539]","[336.7936096191406, 173.74383544921875, 155.32968139648438, 105.9479751586914, 104.01029968261719, 102.28652954101562, 68.84667205810547, 86.90122985839844, 65.41338348388672, 68.08255767822266, 75.43804931640625, 52.74259948730469]",1223.7031,820647.25,3967.4106,125.921074,3841.4895,0.00653685,0.00016965173,0.11382043,6.997259e-05,0.11375046,0.0926910545023696,0.0059935607656534,0.5375,0.0125,0.525,male,Ses03M_male,Ses03M_male
103.82,105.24,neutral,"[-618.9173583984375, 104.52092742919922, -20.84323501586914, 26.499736785888672, -21.751707077026367, 19.314586639404297, -15.21921443939209, 8.038717269897461, -11.44069766998291, 7.620982646942139, -3.61108136177063, -1.3894537687301636]","[5145.9716796875, 2827.554443359375, 812.0358276367188, 750.33203125, 202.05889892578125, 376.0022888183594, 334.4428405761719, 154.2118377685547, 149.51620483398438, 129.68173217773438, 109.85986328125, 150.72328186035156]","[-460.31719970703125, 174.35659790039062, 38.17552185058594, 82.65571594238281, 10.677372932434082, 66.65392303466797, 21.973163604736328, 37.91163635253906, 10.590737342834473, 38.614418029785156, 21.781599044799805, 31.022605895996094]","[-753.56787109375, -38.58483123779297, -89.7880859375, -28.541973114013672, -48.29435348510742, -30.293582916259766, -53.91693878173828, -43.11550521850586, -43.90283203125, -17.845447540283203, -36.4234504699707, -35.95132827758789]","[293.25067138671875, 212.94143676757812, 127.96360778808594, 111.19769287109375, 58.97172546386719, 96.947509765625, 75.89010620117188, 81.02714538574219, 54.493568420410156, 56.45986557006836, 58.205047607421875, 66.97393798828125]",1394.5638,1129823.9,3967.9985,127.88553,3840.113,0.022921171,0.0013037255,0.22490345,0.0001813951,0.22472206,0.142263986013986,0.0202779217886571,0.578125,0.025,0.553125,male,Ses05M_male,Ses05M_male
