Start,End,emotion,mfcc_mean,mfcc_var,mfcc_max,mfcc_min,mfcc_range,pitch_mean,pitch_var,pitch_max,pitch_min,pitch_range,energy_mean,energy_var,energy_max,energy_min,energy_range,zcr_mean,zcr_var,zcr_max,zcr_min,zcr_range,gender,actor,context_speaker_id
302.99,310.24,angry,"[-564.1792602539062, 97.22987365722656, -17.53258514404297, 31.875085830688477, -15.195003509521484, 8.518206596374512, -11.922754287719727, -0.7081301212310791, -20.112062454223633, 1.5443525314331055, -15.541080474853516, 4.22894811630249]","[7678.9296875, 1514.19921875, 893.6980590820312, 896.5299682617188, 491.7473449707031, 238.62005615234375, 234.53713989257812, 219.97042846679688, 281.64837646484375, 152.1808319091797, 174.33636474609375, 136.928955078125]","[-307.1851501464844, 176.94142150878906, 57.275062561035156, 100.71073913574219, 40.9210090637207, 51.18009567260742, 36.654457092285156, 47.906646728515625, 25.426048278808594, 36.098567962646484, 19.661142349243164, 42.26384735107422]","[-758.6114501953125, -28.878414154052734, -127.76588439941406, -45.770294189453125, -100.39622497558594, -37.2462272644043, -49.851219177246094, -42.52138900756836, -71.28567504882812, -31.351144790649414, -51.769676208496094, -28.555744171142578]","[451.4263000488281, 205.81983947753906, 185.04095458984375, 146.4810333251953, 141.31723022460938, 88.42632293701172, 86.50567626953125, 90.42803955078125, 96.71172332763672, 67.44971466064453, 71.43081665039062, 70.81959533691406]",1382.4639,1121241.6,3974.4573,125.484245,3848.9731,0.10774986,0.025214314,1.2806748,0.00011326582,1.2805616,0.1041365358126721,0.0065845457303892,0.590625,0.015625,0.575,male,Ses02M_male,Ses02M_male
236.57,244.83,angry,"[-500.4586181640625, 69.59969329833984, -12.662638664245605, 31.807723999023438, -14.920652389526367, 7.609010219573975, -7.912994861602783, -5.162607669830322, -11.577103614807129, -2.103807210922241, -4.446133613586426, 2.975172758102417]","[13428.21484375, 1554.641357421875, 1386.675537109375, 785.1856689453125, 738.7589721679688, 271.9530029296875, 330.451171875, 332.35919189453125, 228.18089294433594, 213.6948699951172, 169.83551025390625, 113.21331024169922]","[-231.80970764160156, 177.2928009033203, 55.20812225341797, 117.25387573242188, 47.10502243041992, 52.995765686035156, 51.364192962646484, 40.429359436035156, 28.070262908935547, 37.28150177001953, 31.402250289916992, 36.084529876708984]","[-696.0403442382812, -59.303321838378906, -111.93281555175781, -68.4146499633789, -101.29154968261719, -36.683746337890625, -69.71219635009766, -63.082618713378906, -60.9117546081543, -46.241661071777344, -47.23406982421875, -37.25925064086914]","[464.23065185546875, 236.59613037109375, 167.14093017578125, 185.66851806640625, 148.39657592773438, 89.67951202392578, 121.07638549804688, 103.51197814941406, 88.98201751708984, 83.52316284179688, 78.63632202148438, 73.34378051757812]",1605.5206,1315835.1,3973.7803,125.658745,3848.1216,1.1070706,6.4084663,27.411095,0.00018483959,27.41091,0.1329277509068923,0.0162582851367795,0.675,0.009375,0.665625,male,Ses05M_male,Ses05M_male
97.5675,106.5882,angry,"[-635.4911499023438, 94.57130432128906, -29.50957489013672, 30.810562133789062, -18.095245361328125, 8.24461555480957, -10.144745826721191, -0.9960505366325378, -8.411592483520508, -4.3983259201049805, -7.133806228637695, -0.6349083185195923]","[9085.5556640625, 960.9743041992188, 1202.10107421875, 711.5557861328125, 502.2775573730469, 364.6671447753906, 264.2645263671875, 159.7588653564453, 169.09683227539062, 142.44979858398438, 151.34616088867188, 112.04478454589844]","[-433.1971435546875, 166.60821533203125, 51.84587097167969, 105.11515808105469, 28.650047302246094, 63.09410858154297, 29.575355529785156, 34.60887908935547, 23.327640533447266, 34.7181396484375, 24.220966339111328, 38.19730758666992]","[-802.5551147460938, -21.399795532226562, -144.09500122070312, -48.11274337768555, -80.59698486328125, -41.97230911254883, -71.24674987792969, -35.765777587890625, -52.2880859375, -48.960731506347656, -46.48689651489258, -34.490257263183594]","[369.35797119140625, 188.0080108642578, 195.9408721923828, 153.2279052734375, 109.24703216552734, 105.06642150878906, 100.82210540771484, 70.3746566772461, 75.61572265625, 83.67887115478516, 70.7078628540039, 72.68756103515625]",1362.855,966118.0,3974.093,127.024895,3847.068,0.042716675,0.0068075373,0.58043176,6.1898725e-05,0.5803699,0.1028516057585825,0.0056219079694591,0.51875,0.0125,0.5062500000000001,male,Ses03M_male,Ses03M_male
5.977,8.33,angry,"[-653.5264282226562, 91.3432846069336, -13.935954093933105, 35.121646881103516, -13.563058853149414, 6.988269329071045, -6.884801387786865, 3.5728976726531982, -10.18238353729248, -1.6805384159088135, -1.7416590452194214, -4.315309524536133]","[9071.1748046875, 425.20220947265625, 803.993408203125, 330.2256774902344, 452.88360595703125, 230.4767303466797, 113.37468719482422, 143.864501953125, 145.04837036132812, 73.18058776855469, 114.66411590576172, 93.87678527832031]","[-439.6123046875, 157.36183166503906, 29.6624813079834, 82.89761352539062, 22.424659729003906, 49.16264724731445, 21.90378189086914, 32.094871520996094, 18.505348205566406, 20.68555450439453, 24.049131393432617, 19.65125846862793]","[-773.6538696289062, 33.46094512939453, -102.80953979492188, -13.802816390991211, -79.10734558105469, -33.582916259765625, -36.507816314697266, -26.990501403808594, -43.595909118652344, -23.220335006713867, -40.499385833740234, -29.66251564025879]","[334.04156494140625, 123.90088653564453, 132.47201538085938, 96.70043182373047, 101.5320053100586, 82.74555969238281, 58.411598205566406, 59.08537292480469, 62.10125732421875, 43.90589141845703, 64.54851531982422, 49.31377410888672]",1221.7158,850594.5,3930.8335,132.73856,3798.095,0.049184058,0.013393881,0.7181442,7.1842223e-06,0.71813697,0.0810116525423728,0.0015928159394301,0.2375,0.021875,0.2156249999999999,male,Ses02M_male,Ses02M_male
222.63,227.95,angry,"[-578.0776977539062, 90.39759063720703, -25.619873046875, 32.17853546142578, -19.1915225982666, 12.220148086547852, -18.116607666015625, 5.0852742195129395, -6.21566915512085, -4.626867294311523, 2.1677944660186768, -2.228518009185791]","[7003.41845703125, 710.0692138671875, 1283.8099365234375, 802.0465698242188, 655.5264892578125, 213.52806091308594, 441.8962097167969, 176.4081268310547, 246.96795654296875, 202.38104248046875, 178.5113525390625, 163.45608520507812]","[-388.6233215332031, 144.15780639648438, 62.37725830078125, 109.86029815673828, 31.208873748779297, 55.83343505859375, 19.209339141845703, 40.47941207885742, 31.916940689086914, 36.90280532836914, 40.411376953125, 32.351295471191406]","[-756.4989624023438, -5.590412616729736, -148.7213134765625, -38.35223388671875, -107.76518249511719, -22.229042053222656, -92.4946517944336, -35.819923400878906, -44.25752258300781, -46.381439208984375, -36.361026763916016, -47.922340393066406]","[367.8756408691406, 149.7482147216797, 211.09857177734375, 148.2125244140625, 138.97406005859375, 78.0624771118164, 111.70399475097656, 76.29933166503906, 76.1744613647461, 83.28424072265625, 76.77239990234375, 80.27363586425781]",1393.1602,987352.3,3973.849,130.38162,3843.4675,0.12912911,0.07797193,1.7620788,0.00018479046,1.761894,0.1100492495309568,0.0043608222109752,0.490625,0.015625,0.475,male,Ses05M_male,Ses05M_male
124.38,127.19,angry,"[-632.0653076171875, 78.67090606689453, -0.12407775968313217, 26.416255950927734, -6.223621368408203, 9.548432350158691, -10.368093490600586, 4.225260257720947, -9.990365982055664, -3.606555700302124, -2.5571045875549316, 4.653825759887695]","[14594.564453125, 1220.459228515625, 978.6293334960938, 523.9067993164062, 666.0557250976562, 183.75347900390625, 309.9648742675781, 156.8649139404297, 195.53814697265625, 145.87754821777344, 201.1871795654297, 103.87101745605469]","[-382.5722961425781, 140.55612182617188, 63.21354675292969, 85.14013671875, 29.518634796142578, 64.77435302734375, 20.759288787841797, 39.05660629272461, 21.348230361938477, 36.505615234375, 22.55237579345703, 33.26017379760742]","[-769.9931640625, -38.04399108886719, -105.5523452758789, -33.68050765991211, -95.1011962890625, -31.8737735748291, -59.47366714477539, -30.012401580810547, -40.361419677734375, -36.17768478393555, -45.088993072509766, -28.027292251586914]","[387.4208679199219, 178.60011291503906, 168.76589965820312, 118.82064819335938, 124.61982727050781, 96.64812469482422, 80.23295593261719, 69.06900787353516, 61.70964813232422, 72.68330383300781, 67.64137268066406, 61.28746795654297]",1165.9734,972960.6,3958.0789,143.13512,3814.9438,0.1285974,0.09661317,1.907673,0.00014492334,1.907528,0.1043772163120567,0.0159571600682262,0.6375,0.00625,0.63125,female,Ses04F_female,Ses04F_female
25.29,28.59,angry,"[-553.409423828125, 102.66004943847656, -26.43240737915039, 34.9403190612793, -9.358088493347168, 5.463588237762451, -11.53803539276123, -3.9816267490386963, -18.358163833618164, -4.667180061340332, -13.207293510437012, 3.1331470012664795]","[6029.58642578125, 905.6626586914062, 848.7368774414062, 914.68212890625, 573.0613403320312, 376.3245849609375, 203.2337646484375, 184.40243530273438, 105.11936950683594, 121.9546127319336, 114.9330825805664, 153.72906494140625]","[-382.8851013183594, 175.90005493164062, 19.414722442626953, 115.33877563476562, 46.68177795410156, 66.919189453125, 23.65887451171875, 35.006004333496094, 16.03438377380371, 27.04617691040039, 20.52957534790039, 36.61319351196289]","[-737.1068725585938, 8.400823593139648, -122.65617370605469, -33.45241165161133, -76.58827209472656, -45.700435638427734, -53.43498229980469, -41.14341735839844, -49.34926986694336, -29.022735595703125, -38.81818389892578, -30.74148178100586]","[354.2217712402344, 167.49923706054688, 142.07089233398438, 148.7911834716797, 123.27005004882812, 112.61962890625, 77.09385681152344, 76.14942169189453, 65.38365173339844, 56.068912506103516, 59.34775924682617, 67.35467529296875]",1371.9502,1037644.1,3959.4878,127.560135,3831.9277,0.1450221,0.09173575,2.3065138,0.0007108296,2.305803,0.0914180513595166,0.0029335430861574,0.3125,0.01875,0.29375,female,Ses04F_female,Ses04F_female
277.5875,286.56,angry,"[-318.1181335449219, 59.77365493774414, -44.78444290161133, 26.041303634643555, -24.779457092285156, 1.432028889656067, -15.887951850891113, -8.596879005432129, -14.438424110412598, -5.901533126831055, -10.715513229370117, 2.6284663677215576]","[13053.203125, 1160.0887451171875, 995.2498779296875, 799.627685546875, 420.7119140625, 218.5052490234375, 289.6129150390625, 241.22950744628906, 210.9879913330078, 193.0738983154297, 157.56333923339844, 143.34291076660156]","[-131.72891235351562, 144.31597900390625, 43.84547424316406, 102.89111328125, 21.824678421020508, 49.40980529785156, 26.58932876586914, 40.636531829833984, 27.328353881835938, 34.495330810546875, 29.857532501220703, 39.91244888305664]","[-640.3310546875, -46.43336868286133, -124.09868621826172, -53.417808532714844, -87.21533203125, -49.08842849731445, -64.54973602294922, -66.34822845458984, -54.545562744140625, -49.92841339111328, -58.27897262573242, -35.976009368896484]","[508.6021423339844, 190.7493438720703, 167.94415283203125, 156.30892944335938, 109.04000854492188, 98.49822998046875, 91.13906860351562, 106.98475646972656, 81.87391662597656, 84.42374420166016, 88.13650512695312, 75.88845825195312]",1657.6119,1167828.2,3972.3867,125.51483,3846.8718,17.410524,399.24048,107.16756,0.00021189242,107.16734,0.1397306514476614,0.0044917247613517,0.590625,0.01875,0.5718749999999999,female,Ses01F_female,Ses01F_female
260.34,266.35,angry,"[-383.4183044433594, 58.335166931152344, -43.2024040222168, 25.051687240600586, -21.4163761138916, -0.8550264239311218, -18.908489227294922, -3.2892255783081055, -8.344154357910156, 3.8575925827026367, -9.662884712219238, 6.2530293464660645]","[18760.119140625, 778.2399291992188, 1676.523681640625, 508.2330322265625, 599.4009399414062, 329.7018127441406, 296.990234375, 277.8736267089844, 164.642578125, 184.55548095703125, 165.3445587158203, 120.99617004394531]","[-155.41778564453125, 155.78057861328125, 65.38540649414062, 92.99717712402344, 24.79802703857422, 48.698665618896484, 33.95735549926758, 42.23987579345703, 25.837646484375, 41.13060760498047, 28.56249237060547, 44.15513229370117]","[-647.1383666992188, -10.892288208007812, -126.00057983398438, -46.973907470703125, -87.36952209472656, -48.185089111328125, -64.65469360351562, -60.46510314941406, -49.76940155029297, -45.985252380371094, -47.75461196899414, -23.516979217529297]","[491.7205810546875, 166.67286682128906, 191.385986328125, 139.97108459472656, 112.16754913330078, 96.88375854492188, 98.61204528808594, 102.7049789428711, 75.60704803466797, 87.11585998535156, 76.31710815429688, 67.67211151123047]",1705.0665,1135317.6,3973.3782,127.90745,3845.4707,6.572222,102.96858,76.541245,0.00021368172,76.54103,0.1459042774086378,0.0059684663095692,0.51875,0.003125,0.515625,male,Ses05M_male,Ses05M_male
215.51,219.4925,angry,"[-525.4693603515625, 80.18797302246094, -36.34744644165039, 35.38768768310547, -13.758957862854004, 8.739950180053711, -16.5560302734375, -5.974663257598877, -13.553485870361328, 5.942521572113037, -17.178462982177734, 4.620445251464844]","[6781.3896484375, 1930.09130859375, 1790.91552734375, 714.7539672851562, 369.0454406738281, 452.0590515136719, 498.74774169921875, 232.34559631347656, 135.24343872070312, 122.28551483154297, 146.029052734375, 102.33893585205078]","[-374.4237060546875, 163.42056274414062, 50.45604705810547, 103.67223358154297, 25.54400062561035, 60.52922058105469, 38.254390716552734, 33.02103805541992, 18.460758209228516, 31.454105377197266, 17.03681755065918, 32.276039123535156]","[-763.027587890625, -29.02557945251465, -153.475830078125, -25.402191162109375, -76.01505279541016, -49.32093048095703, -65.40493774414062, -52.75286865234375, -45.635372161865234, -28.614261627197266, -49.82294464111328, -23.095539093017578]","[388.6038818359375, 192.44613647460938, 203.931884765625, 129.07443237304688, 101.55905151367188, 109.85015106201172, 103.65933227539062, 85.77391052246094, 64.09613037109375, 60.06836700439453, 66.8597640991211, 55.371578216552734]",1679.9501,1262531.1,3970.941,126.03952,3844.9014,0.1971867,0.070816875,1.2905223,4.0538143e-05,1.2904818,0.1576597744360902,0.0129042037954378,0.58125,0.003125,0.578125,female,Ses04F_female,Ses04F_female
